@relation recipes
@attribute "ausbauf" numeric
@attribute "kostenlo" numeric
@attribute "magazin" numeric
@attribute "rezepte" numeric
@attribute "sammlung" numeric
@attribute "foren" numeric
@attribute "gruppen" numeric
@attribute "user" numeric
@attribute "chefkoch" numeric
@attribute "de" numeric
@attribute "aktuell" numeric
@attribute "artikel" numeric
@attribute "print" numeric
@attribute "abo" numeric
@attribute "partnerm" numeric
@attribute "aeg" numeric
@attribute "perfekt" numeric
@attribute "form" numeric
@attribute "funktion" numeric
@attribute "philadel" numeric
@attribute "ideen" numeric
@attribute "wmf" numeric
@attribute "leben" numeric
@attribute "schmeckt" numeric
@attribute "sch" numeric
@attribute "rubrik" numeric
@attribute "saisonal" numeric
@attribute "backen" numeric
@attribute "chenger" numeric
@attribute "te" numeric
@attribute "zubeh" numeric
@attribute "reis" numeric
@attribute "pasta" numeric
@attribute "co" numeric
@attribute "fleisch" numeric
@attribute "fisch" numeric
@attribute "obst" numeric
@attribute "gem" numeric
@attribute "se" numeric
@attribute "regional" numeric
@attribute italian {1,0}
@data
{ 0 4.7313060590344235e-7,1 0.000001419391817710327,2 0.0000018925224236137694,3 0.000011355134541682617,4 9.462612118068847e-7,5 0.000001419391817710327,6 0.000001419391817710327,7 0.000001419391817710327,8 0.000008516350906261962,9 0.000005677567270841308,10 0.000002838783635420654,11 4.7313060590344235e-7,12 9.462612118068847e-7,13 9.462612118068847e-7,14 4.7313060590344235e-7,15 4.7313060590344235e-7,16 0.000001419391817710327,17 4.7313060590344235e-7,18 4.7313060590344235e-7,19 9.462612118068847e-7,20 9.462612118068847e-7,21 4.7313060590344235e-7,22 4.7313060590344235e-7,23 0.000002838783635420654,24 0.000003785044847227539,25 4.7313060590344235e-7,26 4.7313060590344235e-7,27 0.0000018925224236137694,28 4.7313060590344235e-7,29 0.000001419391817710327,30 4.7313060590344235e-7,31 4.7313060590344235e-7,32 0.000002838783635420654,33 4.7313060590344235e-7,34 9.462612118068847e-7,35 4.7313060590344235e-7,36 4.7313060590344235e-7,37 4.7313060590344235e-7,38 0.000003785044847227539,39 4.7313060590344235e-7,40 1}
{ 0 0.0000011789694717756973,1 0.000003536908415327092,2 0.000004715877887102789,3 0.000029474236794392433,4 0.0000023579389435513946,5 0.000003536908415327092,6 0.000003536908415327092,7 0.000003536908415327092,8 0.000021221450491962553,9 0.000015326603133084063,10 0.000007073816830654184,11 0.0000011789694717756973,12 0.0000023579389435513946,13 0.0000023579389435513946,14 0.0000011789694717756973,15 0.0000011789694717756973,16 0.000003536908415327092,17 0.0000023579389435513946,18 0.0000011789694717756973,19 0.0000023579389435513946,20 0.0000011789694717756973,21 0.0000011789694717756973,22 0.0000011789694717756973,23 0.0000023579389435513946,24 0.0000023579389435513946,25 0.0000011789694717756973,26 0.0000011789694717756973,27 0.000005894847358878487,28 0.0000011789694717756973,29 0.0000023579389435513946,30 0.0000011789694717756973,31 0.0000011789694717756973,32 0.0000011789694717756973,33 0.000003536908415327092,34 0.0000011789694717756973,35 0.0000011789694717756973,36 0.0000011789694717756973,37 0.000007073816830654184,38 0.000008252786302429882,39 0.0000011789694717756973,40 0}
{ 0 4.141868884138011e-7,1 0.0000012425606652414032,2 0.0000016567475536552043,3 0.000009940485321931226,4 8.283737768276022e-7,5 0.0000012425606652414032,6 0.0000012425606652414032,7 0.0000012425606652414032,8 0.00000745536399144842,9 0.000004970242660965613,10 0.0000024851213304828065,11 4.141868884138011e-7,12 8.283737768276022e-7,13 8.283737768276022e-7,14 4.141868884138011e-7,15 4.141868884138011e-7,16 0.000004141868884138011,17 4.141868884138011e-7,18 4.141868884138011e-7,19 8.283737768276022e-7,20 4.141868884138011e-7,21 4.141868884138011e-7,22 4.141868884138011e-7,23 0.000004970242660965613,24 0.0000028993082188966075,25 4.141868884138011e-7,26 4.141868884138011e-7,27 0.0000012425606652414032,28 4.141868884138011e-7,29 0.0000012425606652414032,30 4.141868884138011e-7,31 4.141868884138011e-7,32 4.141868884138011e-7,33 4.141868884138011e-7,34 8.283737768276022e-7,35 4.141868884138011e-7,36 4.141868884138011e-7,37 0.0000016567475536552043,38 0.0000012425606652414032,39 4.141868884138011e-7,40 0}
{ 0 9.939536440170829e-7,1 0.0000029818609320512484,2 0.0000039758145760683315,3 0.000023854887456409987,4 0.0000019879072880341657,5 0.0000029818609320512484,6 0.0000029818609320512484,7 0.0000029818609320512484,8 0.00001789116559230749,9 0.000011927443728204994,10 0.000005963721864102497,11 9.939536440170829e-7,12 0.0000019879072880341657,13 0.0000019879072880341657,14 9.939536440170829e-7,15 9.939536440170829e-7,16 0.0000039758145760683315,17 9.939536440170829e-7,18 9.939536440170829e-7,19 0.0000019879072880341657,20 9.939536440170829e-7,21 9.939536440170829e-7,22 9.939536440170829e-7,23 0.0000039758145760683315,24 0.0000039758145760683315,25 9.939536440170829e-7,26 9.939536440170829e-7,27 0.0000029818609320512484,28 9.939536440170829e-7,29 0.0000029818609320512484,30 9.939536440170829e-7,31 9.939536440170829e-7,32 0.000005963721864102497,33 9.939536440170829e-7,34 0.000007951629152136663,35 9.939536440170829e-7,36 9.939536440170829e-7,37 0.000004969768220085414,38 0.000006957675508119579,39 0.0000019879072880341657,40 1}
{ 0 4.855744438874725e-7,1 0.0000014567233316624175,2 0.00000194229777554989,3 0.000012624935541074283,4 9.71148887774945e-7,5 0.0000014567233316624175,6 0.0000014567233316624175,7 0.0000014567233316624175,8 0.000008740339989974504,9 0.000006312467770537142,10 0.000002913446663324835,11 4.855744438874725e-7,12 9.71148887774945e-7,13 9.71148887774945e-7,14 4.855744438874725e-7,15 4.855744438874725e-7,16 0.0000024278722194373623,17 4.855744438874725e-7,18 4.855744438874725e-7,19 9.71148887774945e-7,20 9.71148887774945e-7,21 4.855744438874725e-7,22 4.855744438874725e-7,23 0.000004370169994987252,24 0.000003399021107212307,25 4.855744438874725e-7,26 4.855744438874725e-7,27 0.00000194229777554989,28 4.855744438874725e-7,29 0.0000014567233316624175,30 4.855744438874725e-7,31 9.71148887774945e-7,32 0.00000194229777554989,33 4.855744438874725e-7,34 4.855744438874725e-7,35 4.855744438874725e-7,36 4.855744438874725e-7,37 0.00000388459555109978,38 0.00000582689332664967,39 4.855744438874725e-7,40 1}
{ 0 8.327461911966538e-7,1 0.0000024982385735899615,2 0.000003330984764786615,3 0.000019153162397523036,4 0.0000016654923823933076,5 0.0000024982385735899615,6 0.0000024982385735899615,7 0.0000024982385735899615,8 0.000014989431441539768,9 0.000009992954294359846,10 0.000004996477147179923,11 8.327461911966538e-7,12 0.0000016654923823933076,13 0.0000016654923823933076,14 8.327461911966538e-7,15 8.327461911966538e-7,16 0.000003330984764786615,17 8.327461911966538e-7,18 8.327461911966538e-7,19 0.0000016654923823933076,20 8.327461911966538e-7,21 8.327461911966538e-7,22 8.327461911966538e-7,23 0.000004163730955983269,24 8.327461911966538e-7,25 8.327461911966538e-7,26 8.327461911966538e-7,27 0.0000024982385735899615,28 8.327461911966538e-7,29 0.0000016654923823933076,30 8.327461911966538e-7,31 8.327461911966538e-7,32 8.327461911966538e-7,33 8.327461911966538e-7,34 8.327461911966538e-7,35 8.327461911966538e-7,36 8.327461911966538e-7,37 8.327461911966538e-7,38 0.0000024982385735899615,39 8.327461911966538e-7,40 1}
{ 0 4.992644023169812e-7,1 0.0000014977932069509434,2 0.0000019970576092679248,3 0.000011483081253290568,4 9.985288046339624e-7,5 0.0000014977932069509434,6 0.0000014977932069509434,7 0.0000014977932069509434,8 0.00000898675924170566,9 0.000005991172827803773,10 0.0000029955864139018867,11 4.992644023169812e-7,12 9.985288046339624e-7,13 9.985288046339624e-7,14 4.992644023169812e-7,15 4.992644023169812e-7,16 0.0000029955864139018867,17 0.000002496322011584906,18 9.985288046339624e-7,19 9.985288046339624e-7,20 4.992644023169812e-7,21 4.992644023169812e-7,22 4.992644023169812e-7,23 0.000004992644023169812,24 0.0000029955864139018867,25 4.992644023169812e-7,26 4.992644023169812e-7,27 0.00000898675924170566,28 4.992644023169812e-7,29 9.985288046339624e-7,30 4.992644023169812e-7,31 4.992644023169812e-7,32 4.992644023169812e-7,33 9.985288046339624e-7,34 4.992644023169812e-7,35 4.992644023169812e-7,36 9.985288046339624e-7,37 4.992644023169812e-7,38 0.0000014977932069509434,39 4.992644023169812e-7,40 0}
{ 0 4.085317943629535e-7,1 0.0000012255953830888606,2 0.000001634127177451814,3 0.000010213294859073837,4 8.17063588725907e-7,5 0.0000012255953830888606,6 0.0000012255953830888606,7 0.0000012255953830888606,8 0.0000073535722985331635,9 0.000004902381532355442,10 0.000002451190766177721,11 4.085317943629535e-7,12 8.17063588725907e-7,13 8.17063588725907e-7,14 4.085317943629535e-7,15 4.085317943629535e-7,16 0.000006536508709807256,17 0.000002451190766177721,18 0.000001634127177451814,19 8.17063588725907e-7,20 4.085317943629535e-7,21 4.085317943629535e-7,22 4.085317943629535e-7,23 0.0000020426589718147676,24 0.0000036767861492665817,25 4.085317943629535e-7,26 4.085317943629535e-7,27 0.00000939623127034793,28 4.085317943629535e-7,29 8.17063588725907e-7,30 4.085317943629535e-7,31 4.085317943629535e-7,32 4.085317943629535e-7,33 4.085317943629535e-7,34 4.085317943629535e-7,35 4.085317943629535e-7,36 4.085317943629535e-7,37 8.17063588725907e-7,38 8.17063588725907e-7,39 4.085317943629535e-7,40 1}
{ 0 8.582804463174216e-7,1 0.000002574841338952265,2 0.0000034331217852696863,3 0.000021457011157935542,4 0.0000017165608926348432,5 0.000002574841338952265,6 0.000002574841338952265,7 0.000002574841338952265,8 0.00001544904803371359,9 0.00001029936535580906,10 0.00000514968267790453,11 8.582804463174216e-7,12 0.0000017165608926348432,13 0.0000017165608926348432,14 8.582804463174216e-7,15 0.0000017165608926348432,16 0.0000034331217852696863,17 0.0000017165608926348432,18 0.0000017165608926348432,19 0.0000017165608926348432,20 8.582804463174216e-7,21 8.582804463174216e-7,22 8.582804463174216e-7,23 0.000002574841338952265,24 0.000002574841338952265,25 8.582804463174216e-7,26 8.582804463174216e-7,27 0.000002574841338952265,28 8.582804463174216e-7,29 0.0000017165608926348432,30 8.582804463174216e-7,31 8.582804463174216e-7,32 8.582804463174216e-7,33 8.582804463174216e-7,34 8.582804463174216e-7,35 8.582804463174216e-7,36 8.582804463174216e-7,37 8.582804463174216e-7,38 0.000007724524016856795,39 8.582804463174216e-7,40 1}
{ 0 5.686248566362472e-7,1 0.0000017058745699087414,2 0.000002274499426544989,3 0.00001250974684599744,4 0.0000011372497132724944,5 0.0000017058745699087414,6 0.0000017058745699087414,7 0.0000017058745699087414,8 0.00001023524741945245,9 0.000006823498279634966,10 0.000003411749139817483,11 5.686248566362472e-7,12 0.0000011372497132724944,13 0.0000011372497132724944,14 5.686248566362472e-7,15 5.686248566362472e-7,16 0.000003411749139817483,17 5.686248566362472e-7,18 0.0000011372497132724944,19 0.0000011372497132724944,20 5.686248566362472e-7,21 5.686248566362472e-7,22 5.686248566362472e-7,23 0.000002843124283181236,24 0.0000017058745699087414,25 5.686248566362472e-7,26 5.686248566362472e-7,27 0.0000017058745699087414,28 5.686248566362472e-7,29 0.0000011372497132724944,30 5.686248566362472e-7,31 0.000003980373996453731,32 5.686248566362472e-7,33 0.0000011372497132724944,34 0.00000625487342299872,35 5.686248566362472e-7,36 5.686248566362472e-7,37 0.000002274499426544989,38 0.000002274499426544989,39 5.686248566362472e-7,40 0}
{ 0 8.515422288782269e-7,1 0.000002554626686634681,2 0.0000034061689155129078,3 0.00001958547126419922,4 0.0000017030844577564539,5 0.000002554626686634681,6 0.000002554626686634681,7 0.000002554626686634681,8 0.000015327760119808087,9 0.000010218506746538724,10 0.000005109253373269362,11 8.515422288782269e-7,12 0.0000017030844577564539,13 0.0000017030844577564539,14 8.515422288782269e-7,15 8.515422288782269e-7,16 0.0000034061689155129078,17 8.515422288782269e-7,18 8.515422288782269e-7,19 0.0000017030844577564539,20 8.515422288782269e-7,21 8.515422288782269e-7,22 8.515422288782269e-7,23 0.000004257711144391135,24 8.515422288782269e-7,25 8.515422288782269e-7,26 8.515422288782269e-7,27 0.0000034061689155129078,28 8.515422288782269e-7,29 0.0000017030844577564539,30 8.515422288782269e-7,31 8.515422288782269e-7,32 8.515422288782269e-7,33 0.0000017030844577564539,34 0.0000017030844577564539,35 0.0000017030844577564539,36 8.515422288782269e-7,37 0.000002554626686634681,38 0.000004257711144391135,39 8.515422288782269e-7,40 1}
{ 0 4.540667353359044e-7,1 0.0000013622002060077133,2 0.0000018162669413436177,3 0.000009989468177389896,4 0.0000013622002060077133,5 0.0000013622002060077133,6 0.0000013622002060077133,7 0.0000013622002060077133,8 0.000008627267971382184,9 0.000005902867559366756,10 0.0000027244004120154265,11 4.540667353359044e-7,12 9.081334706718088e-7,13 9.081334706718088e-7,14 4.540667353359044e-7,15 4.540667353359044e-7,16 0.0000031784671473513307,17 0.0000013622002060077133,18 4.540667353359044e-7,19 9.081334706718088e-7,20 9.081334706718088e-7,21 4.540667353359044e-7,22 4.540667353359044e-7,23 0.000004994734088694948,24 0.0000031784671473513307,25 4.540667353359044e-7,26 4.540667353359044e-7,27 0.0000013622002060077133,28 4.540667353359044e-7,29 9.081334706718088e-7,30 4.540667353359044e-7,31 9.081334706718088e-7,32 0.0000018162669413436177,33 4.540667353359044e-7,34 4.540667353359044e-7,35 4.540667353359044e-7,36 4.540667353359044e-7,37 0.0000018162669413436177,38 0.000004086600618023139,39 4.540667353359044e-7,40 1}
{ 0 4.844899671842062e-7,1 0.0000014534699015526186,2 0.0000019379598687368247,3 0.000012112249179605154,4 9.689799343684123e-7,5 0.0000014534699015526186,6 0.0000014534699015526186,7 0.0000014534699015526186,8 0.000008720819409315712,9 0.000005813879606210474,10 0.000002906939803105237,11 4.844899671842062e-7,12 9.689799343684123e-7,13 9.689799343684123e-7,14 4.844899671842062e-7,15 4.844899671842062e-7,16 0.0000033914297702894435,17 4.844899671842062e-7,18 9.689799343684123e-7,19 9.689799343684123e-7,20 4.844899671842062e-7,21 4.844899671842062e-7,22 9.689799343684123e-7,23 0.000003875919737473649,24 0.000003875919737473649,25 4.844899671842062e-7,26 4.844899671842062e-7,27 0.0000019379598687368247,28 4.844899671842062e-7,29 9.689799343684123e-7,30 4.844899671842062e-7,31 4.844899671842062e-7,32 4.844899671842062e-7,33 4.844899671842062e-7,34 9.689799343684123e-7,35 4.844899671842062e-7,36 4.844899671842062e-7,37 9.689799343684123e-7,38 0.0000314918478669734,39 9.689799343684123e-7,40 0}
{ 0 7.273441167031963e-7,1 0.000002182032350109589,2 0.0000029093764668127853,3 0.000016728914684173516,4 0.0000014546882334063927,5 0.000002182032350109589,6 0.000002182032350109589,7 0.000002182032350109589,8 0.000013092194100657535,9 0.000008728129400438356,10 0.000004364064700219178,11 7.273441167031963e-7,12 0.0000014546882334063927,13 0.0000014546882334063927,14 7.273441167031963e-7,15 7.273441167031963e-7,16 0.0000029093764668127853,17 7.273441167031963e-7,18 0.0000014546882334063927,19 0.0000014546882334063927,20 7.273441167031963e-7,21 7.273441167031963e-7,22 7.273441167031963e-7,23 0.000002182032350109589,24 0.000002182032350109589,25 7.273441167031963e-7,26 7.273441167031963e-7,27 0.000003636720583515982,28 7.273441167031963e-7,29 0.0000014546882334063927,30 7.273441167031963e-7,31 7.273441167031963e-7,32 0.000002182032350109589,33 7.273441167031963e-7,34 7.273441167031963e-7,35 7.273441167031963e-7,36 7.273441167031963e-7,37 7.273441167031963e-7,38 0.000003636720583515982,39 0.0000014546882334063927,40 1}
{ 0 0.0000011342765114077296,1 0.0000034028295342231894,2 0.000004537106045630918,3 0.000027222636273785515,4 0.000002268553022815459,5 0.0000034028295342231894,6 0.0000034028295342231894,7 0.0000034028295342231894,8 0.000020416977205339135,9 0.000013611318136892758,10 0.000006805659068446379,11 0.0000011342765114077296,12 0.000002268553022815459,13 0.000002268553022815459,14 0.0000011342765114077296,15 0.0000011342765114077296,16 0.000006805659068446379,17 0.000005671382557038649,18 0.0000011342765114077296,19 0.000002268553022815459,20 0.0000011342765114077296,21 0.0000011342765114077296,22 0.0000011342765114077296,23 0.000002268553022815459,24 0.000002268553022815459,25 0.0000011342765114077296,26 0.0000011342765114077296,27 0.000010208488602669567,28 0.0000011342765114077296,29 0.000002268553022815459,30 0.0000011342765114077296,31 0.0000011342765114077296,32 0.0000011342765114077296,33 0.0000011342765114077296,34 0.0000011342765114077296,35 0.0000011342765114077296,36 0.0000011342765114077296,37 0.0000011342765114077296,38 0.000002268553022815459,39 0.0000011342765114077296,40 0}
{ 0 4.576590354572327e-7,1 0.0000013729771063716982,2 0.0000018306361418289308,3 0.000011441475886430818,4 9.153180709144654e-7,5 0.0000013729771063716982,6 0.0000013729771063716982,7 0.0000013729771063716982,8 0.00000823786263823019,9 0.000005491908425486793,10 0.0000027459542127433963,11 4.576590354572327e-7,12 9.153180709144654e-7,13 9.153180709144654e-7,14 4.576590354572327e-7,15 4.576590354572327e-7,16 0.0000027459542127433963,17 4.576590354572327e-7,18 9.153180709144654e-7,19 9.153180709144654e-7,20 4.576590354572327e-7,21 4.576590354572327e-7,22 4.576590354572327e-7,23 0.000004118931319115095,24 0.0000018306361418289308,25 4.576590354572327e-7,26 4.576590354572327e-7,27 0.0000018306361418289308,28 4.576590354572327e-7,29 9.153180709144654e-7,30 4.576590354572327e-7,31 0.0000022882951772861637,32 4.576590354572327e-7,33 4.576590354572327e-7,34 9.153180709144654e-7,35 4.576590354572327e-7,36 4.576590354572327e-7,37 0.000004118931319115095,38 0.000009153180709144655,39 4.576590354572327e-7,40 1}
{ 0 0.0000010467087228310172,1 0.000003140126168493052,2 0.000004186834891324069,3 0.000025121009347944414,4 0.0000020934174456620344,5 0.000003140126168493052,6 0.000003140126168493052,7 0.000003140126168493052,8 0.00001884075701095831,9 0.000012560504673972207,10 0.000006280252336986104,11 0.0000010467087228310172,12 0.0000020934174456620344,13 0.0000020934174456620344,14 0.0000010467087228310172,15 0.0000020934174456620344,16 0.000005233543614155086,17 0.0000010467087228310172,18 0.0000010467087228310172,19 0.0000020934174456620344,20 0.0000010467087228310172,21 0.0000010467087228310172,22 0.0000010467087228310172,23 0.000003140126168493052,24 0.0000020934174456620344,25 0.0000010467087228310172,26 0.0000010467087228310172,27 0.000003140126168493052,28 0.0000010467087228310172,29 0.000003140126168493052,30 0.0000010467087228310172,31 0.000010467087228310172,32 0.0000010467087228310172,33 0.0000020934174456620344,34 0.0000020934174456620344,35 0.0000020934174456620344,36 0.0000010467087228310172,37 0.000003140126168493052,38 0.000004186834891324069,39 0.0000010467087228310172,40 1}
{ 0 4.3560317832676366e-7,1 0.0000013068095349802911,2 0.0000017424127133070546,3 0.000011325682636495856,4 8.712063566535273e-7,5 0.0000013068095349802911,6 0.0000013068095349802911,7 0.0000013068095349802911,8 0.000007840857209881746,9 0.0000052272381399211645,10 0.0000026136190699605823,11 4.3560317832676366e-7,12 8.712063566535273e-7,13 8.712063566535273e-7,14 4.3560317832676366e-7,15 4.3560317832676366e-7,16 0.0000034848254266141092,17 4.3560317832676366e-7,18 8.712063566535273e-7,19 0.0000017424127133070546,20 4.3560317832676366e-7,21 4.3560317832676366e-7,22 4.3560317832676366e-7,23 0.000003920428604940873,24 0.0000034848254266141092,25 4.3560317832676366e-7,26 4.3560317832676366e-7,27 0.0000013068095349802911,28 4.3560317832676366e-7,29 8.712063566535273e-7,30 4.3560317832676366e-7,31 4.3560317832676366e-7,32 0.0000030492222482873455,33 8.712063566535273e-7,34 4.3560317832676366e-7,35 4.3560317832676366e-7,36 4.3560317832676366e-7,37 4.3560317832676366e-7,38 0.0000017424127133070546,39 8.712063566535273e-7,40 1}
{ 0 5.426651227185199e-7,1 0.0000016279953681555596,2 0.0000021706604908740794,3 0.000013023962945244476,4 0.0000010853302454370397,5 0.0000016279953681555596,6 0.0000016279953681555596,7 0.0000016279953681555596,8 0.000009767972208933357,9 0.000006511981472622238,10 0.000003255990736311119,11 5.426651227185199e-7,12 0.0000010853302454370397,13 0.0000010853302454370397,14 5.426651227185199e-7,15 5.426651227185199e-7,16 0.0000021706604908740794,17 5.426651227185199e-7,18 5.426651227185199e-7,19 0.0000010853302454370397,20 5.426651227185199e-7,21 5.426651227185199e-7,22 5.426651227185199e-7,23 0.0000016279953681555596,24 0.000004341320981748159,25 5.426651227185199e-7,26 5.426651227185199e-7,27 0.0000021706604908740794,28 5.426651227185199e-7,29 0.0000016279953681555596,30 5.426651227185199e-7,31 5.426651227185199e-7,32 5.426651227185199e-7,33 5.426651227185199e-7,34 5.426651227185199e-7,35 5.426651227185199e-7,36 5.426651227185199e-7,37 0.000003255990736311119,38 0.000004341320981748159,39 5.426651227185199e-7,40 1}
{ 0 0.000001072585329081475,1 0.000003217755987244425,2 0.0000042903413163259,3 0.000023596877239792447,4 0.00000214517065816295,5 0.000003217755987244425,6 0.000003217755987244425,7 0.000003217755987244425,8 0.00001930653592346655,9 0.0000128710239489777,10 0.00000643551197448885,11 0.000001072585329081475,12 0.00000214517065816295,13 0.00000214517065816295,14 0.000001072585329081475,15 0.000001072585329081475,16 0.0000042903413163259,17 0.000001072585329081475,18 0.000001072585329081475,19 0.00000214517065816295,20 0.000001072585329081475,21 0.000001072585329081475,22 0.000001072585329081475,23 0.00000214517065816295,24 0.000003217755987244425,25 0.000001072585329081475,26 0.000001072585329081475,27 0.000003217755987244425,28 0.000001072585329081475,29 0.00000214517065816295,30 0.000001072585329081475,31 0.000001072585329081475,32 0.000001072585329081475,33 0.00000214517065816295,34 0.00000643551197448885,35 0.00000214517065816295,36 0.000001072585329081475,37 0.000001072585329081475,38 0.0000042903413163259,39 0.000001072585329081475,40 0}
